Beer,Brewery,Rating
Festina Pêche,Dogfish Head Brewery,3.79
WWB Batch #50,Crooked Stave Brewery & Taproom,4.46
Citrennial,Foley Brothers Brewing,4.18
Enjoy Sylva Beer ESB,Innovation Brewing,3.93
Tröegs Hopback Amber Ale,Tröegs Brewing Company,4.00
Farmhouse Noir,Sante Adairius Rustic Ales,4.25
Tiny Bomb,Wiseacre Brewing,3.50
ScareCity #3: High West-ified Imperial Coffee Stout,Lagunitas Brewing Company,4.05
Widmer Hefeweizen,Widmer Brothers Brewing Company,3.52
Raspberry Lambic,Upland Brewing Company,4.37
Péché Mortel - Bourbon Barrel Aged,Brasserie Dieu Du Ciel,4.59
Groovy Child Guava Ale,Cherry Street Brewing Cooperative,3.99
Grapefruit Sculpin IPA,Ballast Point Brewing Company,4.27
Hill Farmstead / Blaugies Le Sarrasin,Hill Farmstead Brewery,4.81
4th Year Beer,Revolution Brewing Company,4.00
Death By Hops,Olde Hickory Brewery,4.05
Luscious,The Alchemist,3.73
La Trappe Dubbel (Koningshoeven / Dominus),Bierbrouwerij De Koningshoeven B.V.,4.00
Harpoon Rich & Dan's Rye IPA,Harpoon Brewery & Beer Hall,4.00
Obsidian Stout,Deschutes Brewery,4.10
Das Schwarze,Dinkelacker-Schwabenbraeu AG,2.80
Nectarine Premiere,de Garde Brewing,4.63
Not The Stoic,Deschutes Brewery,3.75
Equinox IPA,Other Half Brewing Co.,4.15
Harpoon IPA,Harpoon Brewery & Beer Hall,3.71
Mexican Cake,Westbrook Brewing Co.,4.44
Prairie Apple Brandy Noir,Prairie Artisan Ales,4.34
Scottish Ale,High Cotton Brewing Co.,4.09
Trailbreaker,Tree House Brewing Company,4.11
Project Dank,La Cumbre Brewing Co.,4.00
Mochaccino Messiah,To Øl,3.60
Curiosity Sixteen,Tree House Brewing Company,4.50
Chimay Grande Réserve (Blue),Bières de Chimay S.A.,3.98
Akari Mist,Half Acre Beer Company,4.12
Mosaic Dry Hopped Fort Point,Trillium Brewing Company,4.46
Saison-Brett,Boulevard Brewing Co.,4.23
Julius (cask Dry Hopped W/ Citra And Amarillo),Tree House Brewing Company,4.37
