Beer name,Brewery,Rating
Festina Pêche,Dogfish Head Brewery,4.03
WWB Batch #50,Crooked Stave Brewery & Taproom,4.46
Citrennial,Foley Brothers Brewing,4.18
Enjoy Sylva Beer ESB,Innovation Brewing,3.93
Tröegs Hopback Amber Ale,Tröegs Brewing Company,4
Farmhouse Noir,Sante Adairius Rustic Ales,4.16
Tiny Bomb,Wiseacre Brewing,3.5
ScareCity #3: High West-ified Imperial Coffee Stout,Lagunitas Brewing Company,3.99
Widmer Hefeweizen,Widmer Brothers Brewing Company,3.48
Raspberry Lambic,Upland Brewing Company,4.37
Péché Mortel - Bourbon Barrel Aged,Brasserie Dieu Du Ciel,4.59
Groovy Child Guava Ale,Cherry Street Brewing Cooperative,3.99
Grapefruit Sculpin IPA,Ballast Point Brewing Company,3.3
Hill Farmstead / Blaugies Le Sarrasin,Hill Farmstead Brewery,4.63
4th Year Beer,Revolution Brewing Company,4
Death By Hops,Olde Hickory Brewery,4.05
Luscious,The Alchemist,3.73
La Trappe Dubbel (Koningshoeven / Dominus),Bierbrouwerij De Koningshoeven B.V.,4
Harpoon Rich & Dan's Rye IPA,Harpoon Brewery & Beer Hall,4
Obsidian Stout,Deschutes Brewery,4.19
Das Schwarze,Dinkelacker-Schwabenbraeu AG,2.8
Nectarine Premiere,de Garde Brewing,4.26
Not The Stoic,Deschutes Brewery,3.75
Equinox IPA,Other Half Brewing Co.,4.33
Harpoon IPA,Harpoon Brewery & Beer Hall,3.75
Mexican Cake,Westbrook Brewing Co.,4.4
Prairie Apple Brandy Noir,Prairie Artisan Ales,4.21
Scottish Ale,High Cotton Brewing Co.,4.09
Trailbreaker,Tree House Brewing Company,4.25
Project Dank,La Cumbre Brewing Co.,4
Mochaccino Messiah,To Øl,3.27
Curiosity Sixteen,Tree House Brewing Company,4.62
Chimay Grande Réserve (Blue),Bières de Chimay S.A.,3.71
Akari Mist,Half Acre Beer Company,4.01
Mosaic Dry Hopped Fort Point,Trillium Brewing Company,4.46
Saison-Brett,Boulevard Brewing Co.,4.23
Julius (cask Dry Hopped W/ Citra And Amarillo),Tree House Brewing Company,4.41
King Gose Home Imperial Gose,Hoppin' Frog Brewery,3.54
Last Snow,Funky Buddha Brewery,4.31
Nelson,Alpine Beer Company,4.47
Alter Ego,Tree House Brewing Company,4.38
Sour Safari,MobCraft Beer,3
Society & Solitude #4,Hill Farmstead Brewery,4.56
Double Shot - Bourbon Vanilla Bean,Tree House Brewing Company,4.5
The Demon Dweller,Green Man Brewery,4.19
Double Shot - Chocolate Peanut Butter Cups,Tree House Brewing Company,4.33
Cascade Foudre #1,Cascade Brewing / Raccoon Lodge & Brewpub,4.41
Lomza Wyborowe,Browar Łomża Sp. z o.o.,2.61
Double Shot - Mixed Berries,Tree House Brewing Company,4.34
Double Shot - 3rd Anniversary Blend,Tree House Brewing Company,4.94
Sip Of Sunshine,Lawson's Finest Liquids,4.21
Very Green,Tree House Brewing Company,4.58
Grassroots Brother Soigné,Grassroots Brewing,4.2
JJJuliusss,Tree House Brewing Company,4.66
Truth,Tree House Brewing Company,4.79
Cap'n Long ESB,300 Suns Brewing,4
Foundation 11 German Pale Ale,Crew AleWerkstatt,3.73
Double Shot - Cinnamon Rolls,Tree House Brewing Company,4.52
Harpoon IPA,Harpoon Brewery & Beer Hall,3.67
Pomegranate Orange IPA,Brew Bus Brewing,3.75
Time Out Stout,Only Child Brewing Company,3.88
Maple Breakfast Stout,14th Star Brewing Co.,3.83
Parabola,Firestone Walker Brewing Co.,4.74
Peach Pi'ed,Wicked Weed Brewing,3.36
Reliance Pale Ale,Brixton Brewery,3.79
Hefe Shandy,Widmer Brothers Brewing Company,3.09
Bourbon County Brand Barleywine Ale,Goose Island Beer Co.,4.68
Lost Galaxy,Lost Nation Brewing,3.56
Hazed & Infused,Boulder Beer / Wilderness Pub,3.19
Mango Hottenroth,The Bruery,3.09
AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),AleSmith Brewing Company,4.29
Black Mamba,Mumford Brewing,4.1
Wolf Rock,Sharp's Brewery,4.05
Undercover Investigation Shut-down Ale,Lagunitas Brewing Company,3.46
R&D Vintage 2014,New Glarus Brewing Company,4.45
Dorothy (2015),Hill Farmstead Brewery,4.14
Yakima Red,Meantime Brewing Company Limited,3.53
Fist City,Revolution Brewing Company,3.99
L.A. Crema,Mumford Brewing,3.9
Creature Of Habit,Only Child Brewing Company,3.75
La Mas Negra,Green Man Brewery,4.19
Boyd St. IPA,Mumford Brewing,3.64
Delirium Tremens,Brouwerij Huyghe,4.49
Experimental Hop IPA - Azacca,Mumford Brewing,3.58
Imperial Coolcumber,Wicked Weed Brewing,3.7
Baden Baden 1999 Bitter Ale,Cervejaria Baden Baden,3.75
Great Lakes Canuck Pale Ale,Great Lakes Brewery,3.75
Smoove Opferator,Toppling Goliath Brewing Company,3.75
Hop Verdomme,Brouwerij Kerkom,3.73
Artaic,Trillium Brewing Company,4.08
Cold Hop British-Style Ale,Boulder Beer / Wilderness Pub,3.58
Jungle-Juiced Head Hunter,Fat Head's Brewery & Saloon,4.35
Founders Curmudgeon (Old Ale),Founders Brewing Company,3.67
Golden Angel,Wicked Weed Brewing,4.31
Smooth Operator,Right Brain Brewery,3.63
Humberto,Wicked Weed Brewing,3.51
Carpe Diem Mañana,The Ale Apothecary,4.44
Ralph,The Ale Apothecary,4.76
Founders Curmudgeon (Old Ale),Founders Brewing Company,4.5
Berzerker,Zauber Brewing Company,4
Sucre,The Bruery,4.31
